staters,total_deaths,total_pop,male_deaths,female_deaths,pop_male,pop_female,male_white_deaths,female_white_deaths,female_black_deaths,male_black_deaths,pop_male_white,pop_male_black,pop_female_white,pop_female_black,male_white_20s_deaths,male_white_30s_deaths,male_white_40s_deaths,male_white_50s_deaths,male_white_60s_deaths,male_white_70s_deaths,male_white_80s_deaths,male_white_90s_deaths,female_white_20s_deaths,female_white_30s_deaths,female_white_40s_deaths,female_white_50s_deaths,female_white_60s_deaths,female_white_70s_deaths,female_black_30s_deaths,female_black_50s_deaths,male_black_20s_deaths,male_black_30s_deaths,male_black_40s_deaths,male_black_50s_deaths,male_black_60s_deaths,male_black_70s_deaths,male_black_80s_deaths,male_black_90s_deaths,female_white_80s_deaths,female_white_90s_deaths,female_black_20s_deaths,female_black_40s_deaths,female_black_60s_deaths,female_black_70s_deaths,female_black_80s_deaths,female_black_90s_deaths,pop_male_white_20s,pop_male_white_30s,pop_male_white_40s,pop_male_white_50s,pop_male_white_60s,pop_male_white_70s,pop_male_white_80s,pop_male_black_20s,pop_male_black_30s,pop_male_black_40s,pop_male_black_50s,pop_male_black_60s,pop_male_black_70s,pop_male_black_80s,pop_female_white_20s,pop_female_white_30s,pop_female_white_40s,pop_female_white_50s,pop_female_white_60s,pop_female_white_70s,pop_female_white_80s,pop_female_black_20s,pop_female_black_30s,pop_female_black_40s,pop_female_black_50s,pop_female_black_60s,pop_female_black_70s,pop_female_black_80s,male_white_below_40_deaths,male_white_over_40_deaths,female_white_below_40_deaths,female_white_over_40_deaths,female_black_below_40_deaths,female_black_over_40_deaths,male_black_below_40_deaths,male_black_over_40_deaths,pop_male_white_below_40,pop_male_white_over_40,pop_male_black_below_40,pop_male_black_over_40,pop_female_white_below_40,pop_female_white_over_40,pop_female_black_below_40,pop_female_black_over_40,year,employment,real_gdp,personal_income,st,sen_dem_majority,hs_dem_majority,sen_rep_majority,hs_rep_majority
AZ,6073,2409115.0,3349.0,2724.0,1170950.0,1238165.0,3267.0,2664.0,60.0,82.0,1071701.0,34125.0,1134215.0,31185.0,30.0,55.0,109.0,383.0,946.0,1136.0,540.0,68.0,15.0,49.0,155.0,348.0,734.0,842.0,4.0,18.0,0.0,2.0,7.0,15.0,24.0,20.0,12.0,2.0,431.0,90.0,0.0,6.0,10.0,16.0,5.0,1.0,276212.0,250626.0,171572.0,128692.0,131296.0,85396.0,27907.0,12138.0,9547.0,5097.0,3318.0,2266.0,1286.0,473.0,263337.0,247383.0,174329.0,139560.0,153365.0,108496.0,47745.0,9971.0,8240.0,4608.0,3309.0,2625.0,1685.0,747.0,85.0,3182.0,64.0,2600.0,4.0,56.0,2.0,80.0,698410.0,373291.0,26782.0,7343.0,685049.0,449166.0,22819.0,8366.0,1987,1764638.0,60047.0,15195.0,AZ,0.0,0.0,1.0,1.0
CA,45621,19704156.0,23424.0,22197.0,9704578.0,9999578.0,21477.0,20636.0,1561.0,1947.0,8145640.0,687604.0,8327653.0,723712.0,187.0,433.0,992.0,2732.0,6115.0,6905.0,3531.0,582.0,148.0,440.0,1173.0,2682.0,5363.0,6068.0,57.0,288.0,15.0,44.0,121.0,385.0,636.0,505.0,215.0,26.0,3856.0,906.0,18.0,154.0,423.0,383.0,197.0,41.0,2281490.0,2058882.0,1333289.0,954350.0,849512.0,487215.0,180902.0,231255.0,186499.0,105798.0,74853.0,53319.0,27097.0,8783.0,2024789.0,1950254.0,1318371.0,986208.0,982189.0,680909.0,384933.0,213028.0,190256.0,114217.0,81564.0,66000.0,40612.0,18035.0,620.0,20857.0,588.0,20048.0,75.0,1486.0,59.0,1888.0,5673661.0,2471979.0,523552.0,164052.0,5293414.0,3034239.0,517501.0,206211.0,1987,15300046.0,615359.0,18491.0,CA,1.0,1.0,0.0,0.0
CO,4371,2287066.0,2286.0,2085.0,1118430.0,1168636.0,2209.0,2012.0,73.0,77.0,1050724.0,42976.0,1099831.0,40553.0,27.0,47.0,83.0,267.0,647.0,676.0,393.0,69.0,16.0,63.0,120.0,279.0,527.0,533.0,2.0,22.0,1.0,1.0,6.0,23.0,26.0,11.0,8.0,1.0,367.0,107.0,0.0,6.0,16.0,17.0,5.0,5.0,267239.0,293853.0,186873.0,127434.0,100843.0,53877.0,20605.0,14900.0,12766.0,6604.0,4591.0,2643.0,1113.0,359.0,258771.0,289238.0,185693.0,131883.0,114738.0,75488.0,44020.0,12400.0,11565.0,6333.0,4545.0,3103.0,1759.0,848.0,74.0,2135.0,79.0,1933.0,2.0,71.0,2.0,75.0,747965.0,302759.0,34270.0,8706.0,733702.0,366129.0,30298.0,10255.0,1987,1902784.0,63920.0,16397.0,CO,0.0,0.0,1.0,1.0
CT,6943,2395565.0,3553.0,3390.0,1134800.0,1260765.0,3355.0,3244.0,146.0,198.0,1041643.0,76957.0,1152815.0,91630.0,22.0,49.0,123.0,396.0,982.0,1119.0,561.0,103.0,19.0,60.0,145.0,379.0,826.0,986.0,6.0,30.0,1.0,3.0,18.0,35.0,70.0,49.0,20.0,2.0,658.0,171.0,3.0,12.0,46.0,24.0,23.0,2.0,249607.0,238651.0,181689.0,140329.0,129839.0,74735.0,26793.0,25979.0,19750.0,13041.0,8846.0,5982.0,2580.0,779.0,245844.0,242400.0,189528.0,148922.0,152136.0,110244.0,63741.0,28444.0,22788.0,15803.0,10868.0,7704.0,4236.0,1787.0,71.0,3284.0,79.0,3165.0,9.0,137.0,4.0,194.0,669947.0,371696.0,58770.0,18187.0,677772.0,475043.0,67035.0,24595.0,1987,1984300.0,82984.0,21740.0,CT,1.0,1.0,0.0,0.0
DC,1646,486912.0,880.0,766.0,221479.0,265433.0,203.0,199.0,567.0,677.0,80973.0,136093.0,87340.0,172830.0,2.0,3.0,11.0,21.0,44.0,79.0,37.0,6.0,1.0,2.0,8.0,14.0,42.0,65.0,18.0,89.0,3.0,12.0,55.0,136.0,204.0,182.0,75.0,10.0,52.0,15.0,6.0,49.0,157.0,160.0,69.0,19.0,25766.0,21500.0,12805.0,7776.0,6699.0,4321.0,2106.0,37362.0,33365.0,20770.0,17670.0,15735.0,8481.0,2710.0,27006.0,19492.0,12165.0,7571.0,8087.0,7439.0,5580.0,43704.0,38737.0,25254.0,21941.0,22088.0,14626.0,6480.0,5.0,198.0,3.0,196.0,24.0,543.0,15.0,662.0,60071.0,20902.0,91497.0,44596.0,58663.0,28677.0,107695.0,65135.0,1987,733070.0,32129.0,20067.0,,,,,
DE,1367,456342.0,751.0,616.0,216687.0,239655.0,633.0,510.0,106.0,118.0,182845.0,30848.0,199520.0,36786.0,4.0,5.0,19.0,98.0,199.0,195.0,94.0,19.0,2.0,8.0,28.0,83.0,137.0,142.0,3.0,17.0,2.0,3.0,8.0,26.0,37.0,27.0,9.0,6.0,86.0,24.0,0.0,8.0,27.0,31.0,17.0,3.0,47576.0,41320.0,30457.0,24572.0,23261.0,11775.0,3884.0,9973.0,7506.0,4969.0,3647.0,2840.0,1443.0,470.0,47646.0,41322.0,31295.0,26262.0,26550.0,17218.0,9227.0,11140.0,9001.0,5802.0,4200.0,3483.0,2156.0,1004.0,9.0,624.0,10.0,500.0,3.0,103.0,5.0,113.0,119353.0,63492.0,22448.0,8400.0,120263.0,79257.0,25943.0,10843.0,1987,386540.0,15568.0,17693.0,DE,1.0,0.0,0.0,1.0
FL,30342,9016157.0,16837.0,13505.0,4265730.0,4750427.0,15185.0,12407.0,1098.0,1652.0,3753731.0,462231.0,4147082.0,544695.0,65.0,165.0,500.0,1555.0,3984.0,5482.0,3003.0,431.0,43.0,194.0,467.0,1276.0,3267.0,4127.0,40.0,201.0,23.0,38.0,106.0,292.0,494.0,495.0,189.0,15.0,2556.0,477.0,17.0,102.0,298.0,259.0,150.0,31.0,806145.0,764916.0,567603.0,472837.0,564742.0,420826.0,156662.0,143966.0,120331.0,74024.0,54523.0,39657.0,22111.0,7619.0,775966.0,759566.0,586253.0,531226.0,685124.0,547134.0,261813.0,159147.0,137466.0,84862.0,63857.0,51139.0,33499.0,14725.0,230.0,14955.0,237.0,12170.0,57.0,1041.0,61.0,1591.0,2138664.0,1615067.0,338321.0,123910.0,2121785.0,2025297.0,381475.0,163220.0,1987,6093623.0,204816.0,16620.0,FL,1.0,1.0,0.0,0.0
GA,10658,4317620.0,5917.0,4741.0,2040659.0,2276961.0,4411.0,3558.0,1183.0,1506.0,1550000.0,467279.0,1668962.0,582037.0,24.0,92.0,206.0,698.0,1441.0,1327.0,562.0,61.0,18.0,81.0,238.0,515.0,961.0,981.0,69.0,167.0,9.0,35.0,119.0,241.0,463.0,442.0,173.0,24.0,615.0,149.0,11.0,101.0,316.0,337.0,157.0,25.0,398271.0,384398.0,287997.0,205154.0,160844.0,86399.0,26937.0,152306.0,126415.0,73683.0,48110.0,36490.0,22484.0,7791.0,383706.0,383073.0,290495.0,214895.0,192554.0,135607.0,68632.0,172067.0,150476.0,88789.0,61334.0,52680.0,38369.0,18322.0,116.0,4295.0,99.0,3459.0,80.0,1103.0,44.0,1462.0,1070666.0,479334.0,352404.0,114875.0,1057274.0,611688.0,411332.0,170705.0,1987,3432866.0,117033.0,14827.0,GA,1.0,1.0,0.0,0.0
HI,453,756584.0,258.0,195.0,384479.0,372105.0,251.0,194.0,1.0,7.0,120271.0,11325.0,101949.0,5690.0,1.0,6.0,11.0,43.0,89.0,75.0,22.0,4.0,0.0,7.0,16.0,26.0,40.0,57.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,36.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,35272.0,34404.0,20458.0,11850.0,10727.0,5972.0,1588.0,6684.0,3087.0,900.0,343.0,210.0,76.0,25.0,25353.0,29578.0,16943.0,10705.0,10488.0,6018.0,2864.0,3124.0,1697.0,462.0,198.0,124.0,49.0,36.0,7.0,244.0,7.0,187.0,0.0,1.0,2.0,5.0,90134.0,30137.0,10671.0,654.0,71874.0,30075.0,5283.0,407.0,1987,642686.0,24273.0,17439.0,HI,1.0,1.0,0.0,0.0
IA,5920,1957460.0,3167.0,2753.0,925592.0,1031868.0,3135.0,2721.0,32.0,32.0,904013.0,13125.0,1009763.0,13455.0,20.0,24.0,105.0,349.0,853.0,1075.0,609.0,100.0,13.0,48.0,117.0,288.0,636.0,783.0,1.0,7.0,0.0,1.0,3.0,9.0,7.0,10.0,2.0,0.0,618.0,218.0,1.0,1.0,13.0,4.0,4.0,1.0,215119.0,202344.0,143501.0,120002.0,114527.0,75205.0,33315.0,4657.0,3354.0,1892.0,1373.0,1069.0,559.0,221.0,214827.0,202585.0,146630.0,128039.0,133260.0,108140.0,76282.0,4375.0,3218.0,1924.0,1492.0,1209.0,790.0,447.0,44.0,3091.0,61.0,2660.0,2.0,30.0,1.0,31.0,560964.0,343049.0,9903.0,3222.0,564042.0,445721.0,9517.0,3938.0,1987,1514302.0,45283.0,14986.0,IA,1.0,1.0,0.0,0.0
ID,1534,646365.0,821.0,713.0,317801.0,328564.0,817.0,712.0,1.0,4.0,310048.0,1254.0,321130.0,718.0,7.0,13.0,20.0,98.0,226.0,277.0,150.0,26.0,4.0,22.0,42.0,75.0,170.0,208.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,149.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,72950.0,76219.0,54262.0,38930.0,35604.0,23569.0,8514.0,556.0,358.0,147.0,98.0,58.0,27.0,10.0,70268.0,75429.0,52879.0,39668.0,38952.0,28814.0,15120.0,298.0,192.0,71.0,60.0,51.0,32.0,14.0,20.0,797.0,26.0,686.0,0.0,1.0,0.0,4.0,203431.0,106617.0,1061.0,193.0,198576.0,122554.0,561.0,157.0,1987,487369.0,13996.0,12681.0,ID,0.0,0.0,1.0,1.0
IL,23241,8016789.0,12073.0,11168.0,3798604.0,4218185.0,10223.0,9771.0,1397.0,1850.0,3240233.0,469213.0,3539331.0,584108.0,66.0,166.0,400.0,1345.0,2962.0,3384.0,1624.0,276.0,48.0,210.0,538.0,1216.0,2403.0,2965.0,40.0,278.0,13.0,41.0,122.0,368.0,590.0,478.0,206.0,32.0,1935.0,456.0,16.0,143.0,379.0,349.0,161.0,31.0,812890.0,764764.0,539135.0,426352.0,386013.0,225634.0,85445.0,143449.0,117343.0,75136.0,58529.0,44504.0,22296.0,7956.0,786733.0,756253.0,548907.0,449072.0,456604.0,342851.0,198911.0,162363.0,144988.0,94577.0,73105.0,58246.0,34827.0,16002.0,232.0,9991.0,258.0,9513.0,56.0,1341.0,54.0,1796.0,2116789.0,1123444.0,335928.0,133285.0,2091893.0,1447438.0,401928.0,182180.0,1987,6031396.0,231210.0,17353.0,IL,1.0,1.0,0.0,0.0
IN,11117,3832993.0,5942.0,5175.0,1813705.0,2019288.0,5441.0,4807.0,368.0,501.0,1681026.0,118390.0,1860301.0,143377.0,42.0,78.0,247.0,703.0,1651.0,1780.0,824.0,116.0,31.0,103.0,258.0,642.0,1236.0,1352.0,10.0,70.0,4.0,9.0,26.0,85.0,145.0,148.0,73.0,11.0,931.0,254.0,5.0,27.0,91.0,101.0,52.0,12.0,422558.0,391181.0,287465.0,225449.0,198178.0,113507.0,42688.0,35138.0,29121.0,18679.0,14840.0,11949.0,6367.0,2296.0,423752.0,395600.0,295549.0,239950.0,237089.0,169056.0,99305.0,40100.0,34613.0,21875.0,17620.0,14998.0,9497.0,4674.0,120.0,5321.0,134.0,4673.0,15.0,353.0,13.0,488.0,1101204.0,579822.0,82938.0,35452.0,1114901.0,745400.0,96588.0,46789.0,1987,2849065.0,91650.0,14591.0,IN,0.0,0.0,1.0,1.0
KS,4626,1721741.0,2522.0,2104.0,824932.0,896809.0,2396.0,2003.0,101.0,126.0,767109.0,43035.0,837206.0,43882.0,11.0,26.0,81.0,283.0,692.0,765.0,465.0,73.0,7.0,43.0,95.0,223.0,461.0,562.0,4.0,10.0,3.0,4.0,4.0,19.0,38.0,36.0,19.0,3.0,470.0,142.0,1.0,12.0,27.0,19.0,25.0,3.0,191686.0,178442.0,122903.0,98757.0,91672.0,57729.0,25920.0,15772.0,11104.0,5767.0,4183.0,3316.0,2003.0,890.0,185145.0,176223.0,123471.0,104053.0,106694.0,84691.0,56929.0,13573.0,10667.0,6131.0,4824.0,4112.0,2910.0,1665.0,37.0,2359.0,50.0,1953.0,5.0,96.0,7.0,119.0,493031.0,274078.0,32643.0,10392.0,484839.0,352367.0,30371.0,13511.0,1987,1420601.0,44164.0,15813.0,KS,0.0,0.0,1.0,1.0
KY,7685,2576872.0,4332.0,3353.0,1218012.0,1358860.0,4005.0,3088.0,265.0,327.0,1135318.0,76243.0,1261007.0,90238.0,27.0,64.0,182.0,608.0,1270.0,1205.0,568.0,81.0,19.0,82.0,180.0,466.0,800.0,871.0,4.0,37.0,2.0,2.0,18.0,39.0,118.0,88.0,56.0,4.0,552.0,118.0,3.0,20.0,70.0,67.0,47.0,17.0,284560.0,264524.0,195132.0,151861.0,131574.0,77795.0,29872.0,24846.0,18111.0,10506.0,8516.0,7501.0,4745.0,2018.0,287655.0,271573.0,201645.0,163493.0,157357.0,115708.0,63576.0,24813.0,21167.0,12587.0,10477.0,9870.0,7282.0,4042.0,91.0,3914.0,101.0,2987.0,7.0,258.0,4.0,323.0,744216.0,391102.0,53463.0,22780.0,760873.0,500134.0,58567.0,31671.0,1987,1765189.0,56282.0,12579.0,KY,1.0,1.0,0.0,0.0
LA,8164,2898671.0,4611.0,3553.0,1361003.0,1537668.0,3256.0,2500.0,1053.0,1355.0,996917.0,348116.0,1083443.0,437512.0,28.0,44.0,135.0,495.0,1035.0,1043.0,422.0,54.0,22.0,56.0,138.0,334.0,655.0,707.0,38.0,169.0,10.0,34.0,84.0,214.0,365.0,427.0,197.0,24.0,481.0,107.0,8.0,81.0,250.0,284.0,180.0,43.0,256421.0,239825.0,170469.0,133492.0,113994.0,61861.0,20855.0,109494.0,85861.0,52433.0,39012.0,32583.0,20224.0,8509.0,252609.0,237037.0,172891.0,142420.0,136405.0,93314.0,48767.0,125311.0,104879.0,65696.0,51134.0,44615.0,30400.0,15477.0,72.0,3184.0,78.0,2422.0,46.0,1007.0,44.0,1311.0,666715.0,330202.0,247788.0,100328.0,662537.0,420906.0,295886.0,141626.0,1987,1903658.0,78488.0,12250.0,LA,1.0,1.0,0.0,0.0
MA,13387,4382341.0,6734.0,6653.0,2049046.0,2333295.0,6527.0,6485.0,168.0,207.0,1915551.0,91194.0,2186146.0,103457.0,45.0,84.0,237.0,772.0,1889.0,2136.0,1164.0,200.0,31.0,105.0,306.0,728.0,1560.0,1923.0,12.0,22.0,4.0,5.0,18.0,38.0,62.0,49.0,24.0,7.0,1416.0,416.0,0.0,13.0,48.0,51.0,17.0,5.0,508649.0,441252.0,310345.0,241523.0,228213.0,134380.0,51189.0,32510.0,24848.0,14208.0,9097.0,6482.0,2971.0,1078.0,518745.0,453876.0,326813.0,263208.0,278816.0,212393.0,132295.0,34089.0,26686.0,16101.0,10948.0,8491.0,4793.0,2349.0,129.0,6398.0,136.0,6349.0,12.0,156.0,9.0,198.0,1260246.0,655305.0,71566.0,19628.0,1299434.0,886712.0,76876.0,26581.0,1987,3632415.0,138900.0,19608.0,MA,1.0,1.0,0.0,0.0
MD,9094,3304921.0,4850.0,4244.0,1570143.0,1734778.0,3748.0,3470.0,774.0,1102.0,1188210.0,340234.0,1282796.0,405986.0,23.0,53.0,162.0,504.0,1134.0,1239.0,555.0,78.0,26.0,78.0,197.0,487.0,958.0,997.0,36.0,144.0,9.0,33.0,81.0,189.0,338.0,302.0,128.0,22.0,567.0,160.0,12.0,82.0,209.0,187.0,89.0,15.0,290045.0,287954.0,215393.0,159019.0,139508.0,71940.0,24351.0,105354.0,91087.0,59553.0,39563.0,27620.0,12795.0,4262.0,284798.0,287190.0,217374.0,164645.0,162185.0,107258.0,59346.0,117540.0,109220.0,70512.0,45670.0,34344.0,19807.0,8893.0,76.0,3672.0,104.0,3366.0,48.0,726.0,42.0,1060.0,793392.0,394818.0,255994.0,84240.0,789362.0,493434.0,297272.0,108714.0,1987,2553099.0,91380.0,19299.0,MD,1.0,1.0,0.0,0.0
ME,2711,842879.0,1431.0,1280.0,400910.0,441969.0,1430.0,1280.0,0.0,1.0,395988.0,1843.0,437465.0,1013.0,6.0,19.0,59.0,150.0,408.0,499.0,255.0,34.0,6.0,21.0,56.0,154.0,312.0,369.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,281.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,93807.0,95066.0,67789.0,52373.0,46963.0,28588.0,11402.0,842.0,535.0,226.0,110.0,80.0,31.0,19.0,94634.0,96913.0,67662.0,55553.0,55245.0,41531.0,25927.0,466.0,256.0,110.0,71.0,54.0,31.0,25.0,25.0,1405.0,27.0,1253.0,0.0,0.0,0.0,1.0,256662.0,139326.0,1603.0,240.0,259209.0,178256.0,832.0,181.0,1987,652556.0,19166.0,14675.0,ME,1.0,1.0,0.0,0.0
MI,17607,6424195.0,9360.0,8247.0,3050434.0,3373761.0,8081.0,7246.0,1001.0,1279.0,2652456.0,355379.0,2891731.0,436148.0,62.0,117.0,331.0,1055.0,2511.0,2548.0,1263.0,194.0,49.0,154.0,425.0,1037.0,1936.0,2096.0,39.0,184.0,8.0,20.0,62.0,219.0,426.0,352.0,169.0,23.0,1265.0,284.0,9.0,97.0,276.0,263.0,110.0,23.0,661363.0,631889.0,452249.0,354430.0,315479.0,173012.0,64034.0,103556.0,89177.0,57713.0,42624.0,36628.0,18937.0,6744.0,662560.0,637241.0,460992.0,373448.0,367385.0,251449.0,138656.0,120809.0,109220.0,69130.0,51228.0,45766.0,27574.0,12421.0,179.0,7902.0,203.0,7043.0,48.0,953.0,28.0,1251.0,1745501.0,906955.0,250446.0,104933.0,1760793.0,1130938.0,299159.0,136989.0,1987,4482585.0,169237.0,15968.0,MI,0.0,1.0,1.0,0.0
MN,7717,2980857.0,3969.0,3748.0,1432688.0,1548169.0,3914.0,3710.0,38.0,55.0,1379835.0,25049.0,1495320.0,23257.0,26.0,51.0,131.0,413.0,1011.0,1327.0,804.0,151.0,16.0,66.0,199.0,390.0,797.0,1133.0,5.0,7.0,0.0,2.0,3.0,10.0,21.0,13.0,5.0,1.0,849.0,260.0,0.0,7.0,9.0,5.0,4.0,1.0,348290.0,339735.0,229429.0,170921.0,151233.0,96619.0,43608.0,9037.0,7938.0,3783.0,2048.0,1361.0,644.0,238.0,350974.0,338035.0,230267.0,175964.0,172121.0,136457.0,91502.0,8641.0,6671.0,3153.0,2010.0,1483.0,838.0,461.0,77.0,3837.0,82.0,3628.0,5.0,33.0,2.0,53.0,917454.0,462381.0,20758.0,4291.0,919276.0,576044.0,18465.0,4792.0,1987,2509308.0,85365.0,16724.0,MN,1.0,1.0,0.0,0.0
MO,11158,3589061.0,5931.0,5227.0,1681577.0,1907484.0,5270.0,4691.0,536.0,661.0,1513648.0,150728.0,1698628.0,190007.0,24.0,64.0,188.0,651.0,1574.0,1732.0,909.0,128.0,22.0,93.0,228.0,549.0,1139.0,1375.0,19.0,78.0,8.0,12.0,47.0,98.0,179.0,186.0,112.0,19.0,1020.0,265.0,1.0,50.0,152.0,129.0,82.0,25.0,363152.0,340709.0,251446.0,205097.0,187138.0,117707.0,48399.0,46228.0,36789.0,22996.0,17913.0,14615.0,8568.0,3619.0,366220.0,346609.0,260789.0,218777.0,221827.0,174906.0,109500.0,52356.0,45048.0,28920.0,23108.0,19841.0,13561.0,7173.0,88.0,5182.0,115.0,4576.0,20.0,516.0,20.0,641.0,955307.0,558341.0,106013.0,44715.0,973618.0,725010.0,126324.0,63683.0,1987,2836153.0,88912.0,15290.0,MO,1.0,1.0,0.0,0.0
MS,5065,1716613.0,2882.0,2183.0,797749.0,918864.0,1941.0,1464.0,719.0,941.0,560077.0,232239.0,615267.0,297240.0,7.0,27.0,91.0,285.0,589.0,635.0,270.0,37.0,5.0,39.0,97.0,226.0,346.0,395.0,33.0,95.0,8.0,22.0,39.0,126.0,231.0,313.0,169.0,33.0,288.0,68.0,5.0,63.0,171.0,184.0,131.0,37.0,137144.0,123118.0,97530.0,79026.0,68413.0,40590.0,14256.0,72707.0,54578.0,32541.0,24087.0,22578.0,17554.0,8194.0,132386.0,122716.0,99072.0,84512.0,82160.0,61618.0,32803.0,86022.0,66817.0,40500.0,33084.0,31848.0,25377.0,13592.0,34.0,1907.0,44.0,1420.0,38.0,681.0,30.0,911.0,357792.0,202285.0,159826.0,72413.0,354174.0,261093.0,193339.0,103901.0,1987,1141343.0,33531.0,10895.0,MS,1.0,1.0,0.0,0.0
MT,1467,552285.0,804.0,663.0,269147.0,283138.0,802.0,663.0,0.0,2.0,255687.0,854.0,268689.0,489.0,4.0,10.0,24.0,90.0,225.0,267.0,155.0,27.0,4.0,19.0,36.0,88.0,146.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,105.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,55063.0,62761.0,45217.0,33916.0,31371.0,19999.0,7360.0,394.0,239.0,97.0,63.0,35.0,19.0,7.0,54958.0,62648.0,43636.0,34299.0,33780.0,25315.0,14053.0,187.0,133.0,48.0,39.0,41.0,24.0,17.0,14.0,788.0,23.0,640.0,0.0,0.0,0.0,2.0,163041.0,92646.0,730.0,124.0,161242.0,107447.0,368.0,121.0,1987,405938.0,11383.0,12960.0,MT,0.0,0.0,0.0,1.0
NC,12093,4589056.0,6694.0,5399.0,2177188.0,2411868.0,5124.0,4224.0,1175.0,1570.0,1732345.0,409591.0,1873599.0,498255.0,32.0,86.0,259.0,788.0,1588.0,1624.0,663.0,84.0,20.0,105.0,266.0,603.0,1167.0,1204.0,47.0,174.0,8.0,27.0,88.0,242.0,503.0,482.0,194.0,26.0,690.0,169.0,14.0,101.0,301.0,324.0,177.0,37.0,453025.0,395300.0,301549.0,235177.0,202531.0,109359.0,35404.0,132095.0,100015.0,62220.0,45571.0,38671.0,23026.0,7993.0,419942.0,392540.0,308916.0,254379.0,243618.0,169409.0,84795.0,140864.0,117618.0,72986.0,57861.0,53890.0,37853.0,17183.0,118.0,5006.0,125.0,4099.0,61.0,1114.0,35.0,1535.0,1149874.0,582471.0,294330.0,115261.0,1121398.0,752201.0,331468.0,166787.0,1987,3610298.0,113262.0,14263.0,NC,1.0,1.0,0.0,0.0
ND,1245,453758.0,707.0,538.0,223739.0,230019.0,706.0,538.0,0.0,1.0,215792.0,1310.0,221497.0,711.0,4.0,8.0,18.0,83.0,166.0,244.0,165.0,18.0,3.0,13.0,21.0,63.0,100.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,135.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,56436.0,49957.0,31646.0,26917.0,25162.0,17760.0,7914.0,769.0,392.0,103.0,28.0,10.0,4.0,4.0,51948.0,47330.0,30506.0,27766.0,26856.0,22945.0,14146.0,426.0,204.0,47.0,18.0,7.0,3.0,6.0,12.0,694.0,16.0,522.0,0.0,0.0,0.0,1.0,138039.0,77753.0,1264.0,46.0,129784.0,91713.0,677.0,34.0,1987,362693.0,10306.0,13857.0,ND,1.0,0.0,0.0,1.0
NE,3069,1093226.0,1659.0,1410.0,521101.0,572125.0,1607.0,1380.0,30.0,52.0,499793.0,15195.0,547918.0,17132.0,6.0,20.0,70.0,198.0,403.0,530.0,319.0,61.0,11.0,26.0,62.0,162.0,304.0,395.0,2.0,1.0,0.0,1.0,6.0,10.0,19.0,8.0,8.0,0.0,306.0,114.0,1.0,3.0,10.0,5.0,7.0,1.0,121324.0,117542.0,79282.0,64995.0,59164.0,39187.0,18299.0,5206.0,4001.0,2299.0,1700.0,1128.0,607.0,254.0,120148.0,116541.0,79575.0,68095.0,68115.0,56121.0,39323.0,5384.0,4440.0,2521.0,1915.0,1468.0,929.0,475.0,26.0,1581.0,37.0,1343.0,3.0,27.0,1.0,51.0,318148.0,181645.0,11506.0,3689.0,316264.0,231654.0,12345.0,4787.0,1987,924608.0,26760.0,15368.0,NE,0.0,0.0,0.0,0.0
NH,1996,758192.0,1066.0,930.0,364931.0,393261.0,1063.0,930.0,0.0,3.0,359506.0,2403.0,388222.0,1697.0,1.0,21.0,46.0,131.0,301.0,355.0,184.0,24.0,3.0,28.0,50.0,132.0,214.0,266.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,194.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,90452.0,93040.0,63872.0,44682.0,37723.0,21623.0,8114.0,961.0,698.0,357.0,225.0,107.0,34.0,21.0,92240.0,92846.0,63026.0,45815.0,43445.0,31700.0,19150.0,658.0,491.0,242.0,146.0,86.0,47.0,27.0,22.0,1041.0,31.0,899.0,0.0,0.0,0.0,3.0,247364.0,112142.0,2016.0,387.0,248112.0,140110.0,1391.0,306.0,1987,634718.0,20994.0,18462.0,NH,0.0,0.0,1.0,1.0
