"SA25 Total Full-Time and Part-Time Employment by SIC Industry 1/"
"Total employment (number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"38000","North Dakota",273930,281458,283811,288138,300252,308009,313546,325944,330976,345094,353425,354849,358792,359535,365143,366419,363513,357386,362693,366328,370190,373890,382218,387620,396886,411338,418075,425783,429892,435526,436571,440500,443215
"39000","Ohio",4695425,4682839,4626586,4709749,4902170,4964402,4809410,4889405,5034481,5205914,5290874,5204114,5134527,4966522,4960461,5160451,5287261,5400592,5547914,5682276,5802511,5863015,5842457,5854116,5959798,6136451,6299654,6395002,6500115,6597279,6674568,6779839,6713418
"40000","Oklahoma",1107254,1119772,1132251,1183090,1220988,1255780,1268539,1305470,1359195,1428087,1481253,1547367,1625130,1673226,1637587,1665397,1647651,1588059,1598762,1608236,1622640,1654743,1668179,1680022,1715718,1748232,1799650,1849559,1896861,1938882,1953977,1993644,2010657
"41000","Oregon",920183,925933,950552,1001074,1058290,1089196,1105316,1156014,1222672,1296308,1349641,1349543,1319241,1269532,1295260,1341925,1370436,1405810,1454698,1521518,1574429,1626385,1635517,1653649,1697791,1780620,1845372,1919606,1986426,2021267,2048982,2089945,2077075
"42000","Pennsylvania",5249940,5226036,5159316,5246647,5401982,5419058,5302386,5353339,5429193,5561889,5663533,5624462,5583974,5473792,5432690,5577004,5679261,5772102,5956959,6119812,6216055,6292542,6211669,6216278,6256367,6323071,6422943,6477294,6584830,6654835,6757178,6894373,6901107
"44000","Rhode Island",440080,440434,436230,447168,452029,439492,423718,442018,459260,474204,483338,484272,483652,474725,480235,503670,518775,536778,546024,559738,560370,550468,523917,529175,533447,532959,536250,539724,545955,554562,565276,579050,581283
"45000","South Carolina",1170440,1195991,1214524,1261975,1327545,1364918,1326160,1376441,1411204,1466342,1507001,1523489,1536244,1513855,1547496,1624992,1655111,1697186,1738122,1809013,1858308,1912747,1886170,1897465,1931459,1978983,2038053,2080349,2140787,2188552,2235610,2275940,2250210
"46000","South Dakota",303105,304839,306132,309069,322850,326414,326343,335977,342003,354884,359364,352638,347563,344304,352537,362378,364778,366030,381298,387779,395870,409374,420472,431189,442481,464396,472046,479226,484646,490481,500466,509241,510182
"47000","Tennessee",1788719,1784919,1816596,1923756,2024714,2054692,1983267,2052396,2135018,2227104,2278894,2259204,2255061,2217235,2239467,2343854,2398866,2477304,2577879,2663338,2734816,2777416,2777569,2837263,2942948,3061304,3144656,3194784,3269258,3342682,3400750,3463763,3427722
"48000","Texas",5005193,5045435,5123138,5333823,5608047,5822056,5938330,6206757,6520814,6900142,7214707,7495945,7900274,8074282,8064275,8433673,8673542,8514204,8723023,8880181,9005310,9242899,9403936,9482932,9780517,10098087,10439859,10737590,11165358,11542048,11764041,12139152,12285494
"49000","Utah",443665,454612,466945,494083,522552,544692,552699,580312,612694,651311,677997,687159,696877,706930,719110,761202,788568,801192,830377,865051,897166,938218,960860,978690,1025991,1102315,1150220,1217605,1269877,1309139,1336157,1376759,1385001
"50000","Vermont",202578,205015,205729,211203,219986,222240,220329,228487,236484,251752,260666,265618,269992,271070,277388,288739,300062,311372,320497,334186,341223,340784,334190,341722,349250,358528,361825,367074,372613,381478,389909,400602,403547
"51000","Virginia",2147852,2157657,2196371,2263423,2384496,2450799,2425437,2501192,2584568,2697755,2767118,2796505,2811756,2823682,2896818,3041492,3181471,3316133,3479609,3558017,3655230,3699593,3641765,3657380,3730015,3813122,3902673,3983418,4081751,4168392,4260312,4396936,4415272
"53000","Washington",1538783,1491143,1456722,1480987,1558344,1621514,1658770,1738939,1815067,1938600,2057909,2104574,2118874,2093972,2140060,2213531,2277144,2351448,2470016,2599556,2717905,2842491,2877018,2906917,2950534,3059952,3101334,3192307,3298010,3382438,3444324,3525394,3508981
"54000","West Virginia",651782,659514,669717,683606,699804,711453,717096,739036,757752,780911,790391,782029,761627,740403,721543,732296,731881,731131,738242,750513,757104,777862,778768,789331,801180,822272,838499,846838,858297,868044,868813,875472,873856
"55000","Wisconsin",1943518,1953931,1957393,2014337,2116012,2158611,2147925,2211407,2293198,2380482,2460477,2442970,2415039,2372990,2375985,2466771,2495453,2537323,2604573,2683663,2740050,2814229,2840450,2893937,2949696,3040287,3119622,3170631,3225761,3285025,3346241,3406669,3392483
"56000","Wyoming",157954,159384,164883,172302,182288,193767,202679,214096,230589,249813,266229,278978,289465,286715,274024,275951,276585,263687,258441,263690,265401,270832,277118,279892,284727,297591,300567,303696,306691,309707,313528,322283,328624
"91000","New England",5516209,5518415,5453812,5573473,5783040,5842740,5685171,5810737,6006686,6275658,6503010,6623392,6665508,6666539,6798965,7158545,7400020,7637911,7770510,8018428,8005259,7853000,7525849,7565989,7688552,7782372,7874773,8004303,8165312,8359163,8512132,8733988,8761274
"92000","Mideast",19431595,19465172,19298876,19521401,19968419,19954192,19479921,19562540,19848352,20411324,20871108,20910540,20978499,20858208,21044896,21765755,22333480,22836571,23321041,23926563,24200579,24260159,23702617,23597395,23714155,23879127,24157121,24386892,24762673,25149757,25668847,26347218,26411481
"93000","Great Lakes",17784792,17629888,17549161,17933361,18709641,18910612,18398540,18891012,19508275,20189901,20491061,19978400,19794639,19247704,19265036,20027708,20491601,20933917,21515533,22070238,22555767,22928059,22845115,22971040,23359251,24059591,24713277,25105406,25512693,25942541,26311160,26800160,26508945
"94000","Plains",7505929,7515685,7544238,7730682,8064620,8219329,8180642,8438457,8656898,8952740,9231708,9227034,9179615,9050226,9163323,9469948,9612034,9701239,9948963,10155661,10356893,10544130,10597216,10707957,10934005,11229940,11537241,11760554,11980349,12234925,12402501,12595379,12584763
"95000","Southeast",19084662,19254078,19634834,20522779,21636418,22069204,21642177,22350782,23208354,24305438,24987030,25323533,25594257,25499166,26030019,27279919,28089533,28826343,29529018,30526803,31250771,31839773,31724181,32179597,33186392,34134731,35253631,36086983,37049534,38027751,38833571,39745844,39701875
"96000","Southwest",7218590,7310759,7457193,7807000,8214605,8510949,8632724,9000734,9466478,10046079,10528267,10922968,11448816,11681930,11711840,12258547,12617093,12482766,12785009,13054918,13241498,13553142,13759100,13884973,14331945,14844615,15395525,15883416,16482214,17036731,17359702,17902950,18111900
"97000","Rocky Mountain",2216290,2270924,2342846,2481637,2645947,2739588,2778108,2912267,3060257,3257216,3401773,3474372,3559230,3595661,3642286,3800502,3860643,3854312,3884909,4021294,4113866,4230473,4334647,4434408,4625984,4886464,5045998,5248733,5439812,5624157,5752166,5952981,6005067
"98000","Far West",12295133,12312679,12300440,12741867,13404810,13865186,14103317,14624671,15286900,16248244,17133143,17522961,17693436,17563866,17989335,18767176,19392296,19959241,20793417,21789995,22453167,23122164,23124075,22824741,22934116,23379760,23938234,24579913,25148613,26106175,26691221,27292280,27433895
"Legend / Footnotes:"
"1/ The estimates of employment for 1969-74 are based on the 1967 Standard Industrial Classification (SIC). The estimates for 1975-87 are based on the 1972 SIC. The estimates for 1988-2001 are based on the 1987 SIC."
"Last updated: May 30, 2014-- revised estimates for 1969-2001."
