var,coef,stderr,pval,N,lhs,specification,r2
"male_black_mortality:lag_mand_n_rec_00",.0149188,.0237328,.5296017,1481,"male_black",6,
"male_black_mortality:lag_mand_n_rec_01",.039398,.0282385,.1629595,1481,"male_black",6,
"male_black_mortality:lag_mand_n_rec_02",.0373891,.027637,.1760994,1481,"male_black",6,
"male_black_mortality:lag_mand_n_rec_03",.0444139,.0274681,.1058937,1481,"male_black",6,
"male_black_mortality:lag_mand_n_rec_04",.0273254,.0307603,.3743606,1481,"male_black",6,
"male_black_mortality:lag_mand_n_rec_05",.0770634,.0329377,.0193007,1481,"male_black",6,
"male_black_mortality:lag_mand_n_rec_LT",.0648829,.0342712,.0583292,1481,"male_black",6,
"lag_mand_n_rec_00",-39.53541,25.7496,.1311231,1451,"male_black",5,.9513509
"lag_mand_n_rec_01",-21.40492,25.81373,.4110086,1451,"male_black",5,.9513509
"lag_mand_n_rec_02",-31.66122,24.74218,.2066958,1451,"male_black",5,.9513509
"lag_mand_n_rec_03",-27.53744,20.65518,.1886323,1451,"male_black",5,.9513509
"lag_mand_n_rec_04",-43.81799,29.27253,.140834,1451,"male_black",5,.9513509
"lag_mand_n_rec_05",3.728295,30.50972,.9032402,1451,"male_black",5,.9513509
"lag_mand_n_rec_LT",-29.31306,32.8051,.3759295,1451,"male_black",5,.9513509
"lag_mand_n_rec_00",-42.05836,25.91117,.110841,1481,"male_black",4,.9527739
"lag_mand_n_rec_01",-20.40796,26.23034,.4402183,1481,"male_black",4,.9527739
"lag_mand_n_rec_02",-29.15888,24.77713,.2448289,1481,"male_black",4,.9527739
"lag_mand_n_rec_03",-27.06481,21.52822,.2145299,1481,"male_black",4,.9527739
"lag_mand_n_rec_04",-46.06911,30.04186,.1314571,1481,"male_black",4,.9527739
"lag_mand_n_rec_05",-.5517215,30.34555,.9855666,1481,"male_black",4,.9527739
"lag_mand_n_rec_LT",-43.71867,34.03199,.2048399,1481,"male_black",4,.9527739
"lag_mand_n_rec_00",16.0585,30.16404,.5968741,1451,"male_black",3,.920642
"lag_mand_n_rec_01",41.98188,35.58518,.2437928,1451,"male_black",3,.920642
"lag_mand_n_rec_02",40.15371,32.93952,.2286752,1451,"male_black",3,.920642
"lag_mand_n_rec_03",49.08084,34.04715,.1557888,1451,"male_black",3,.920642
"lag_mand_n_rec_04",32.5988,38.30287,.3988651,1451,"male_black",3,.920642
"lag_mand_n_rec_05",86.5328,46.04918,.0661799,1451,"male_black",3,.920642
"lag_mand_n_rec_LT",74.66396,48.88234,.133086,1451,"male_black",3,.920642
"lag_mand_n_rec_00",19.33333,29.62251,.5169673,1481,"male_black",2,.9223489
"lag_mand_n_rec_01",48.40276,34.66753,.1688229,1481,"male_black",2,.9223489
"lag_mand_n_rec_02",51.33845,33.64956,.1333909,1481,"male_black",2,.9223489
"lag_mand_n_rec_03",60.58574,35.4863,.0939699,1481,"male_black",2,.9223489
"lag_mand_n_rec_04",42.68877,39.1198,.2804016,1481,"male_black",2,.9223489
"lag_mand_n_rec_05",95.94479,45.56774,.0402884,1481,"male_black",2,.9223489
"lag_mand_n_rec_LT",74.94103,47.75485,.1228888,1481,"male_black",2,.9223489
"lag_mand_n_rec_00",19.52301,31.98075,.5443212,1481,"male_black",1,.9181145
"lag_mand_n_rec_01",50.25459,37.94898,.1914361,1481,"male_black",1,.9181145
"lag_mand_n_rec_02",51.34561,37.74311,.1798061,1481,"male_black",1,.9181145
"lag_mand_n_rec_03",60.28361,38.71048,.1257083,1481,"male_black",1,.9181145
"lag_mand_n_rec_04",42.12047,42.1968,.3229931,1481,"male_black",1,.9181145
"lag_mand_n_rec_05",95.17188,48.5217,.0554093,1481,"male_black",1,.9181145
"lag_mand_n_rec_LT",86.70247,50.81549,.0941719,1481,"male_black",1,.9181145
"female_black_mortality:lag_mand_n_rec_00",.0134099,.0140623,.3402842,1451,"female_black",7,
"female_black_mortality:lag_mand_n_rec_01",.0075599,.0302897,.8029079,1451,"female_black",7,
"female_black_mortality:lag_mand_n_rec_02",.0171013,.0252787,.4987162,1451,"female_black",7,
"female_black_mortality:lag_mand_n_rec_03",.0292571,.0219311,.1821893,1451,"female_black",7,
"female_black_mortality:lag_mand_n_rec_04",.0650738,.0265831,.0143677,1451,"female_black",7,
"female_black_mortality:lag_mand_n_rec_05",.052665,.0318045,.0977426,1451,"female_black",7,
"female_black_mortality:lag_mand_n_rec_LT",.0289324,.0304109,.3414101,1451,"female_black",7,
"female_black_mortality:lag_mand_n_rec_00",.0365393,.0219594,.0961227,1481,"female_black",6,
"female_black_mortality:lag_mand_n_rec_01",.0320764,.0292691,.2731162,1481,"female_black",6,
"female_black_mortality:lag_mand_n_rec_02",.0380433,.0292351,.19316,1481,"female_black",6,
"female_black_mortality:lag_mand_n_rec_03",.0540799,.0233271,.0204316,1481,"female_black",6,
"female_black_mortality:lag_mand_n_rec_04",.089637,.0359127,.0125613,1481,"female_black",6,
"female_black_mortality:lag_mand_n_rec_05",.0813567,.0375721,.0303608,1481,"female_black",6,
"female_black_mortality:lag_mand_n_rec_LT",.0586895,.0359019,.1021078,1481,"female_black",6,
"lag_mand_n_rec_00",10.26596,12.93622,.4312646,1451,"female_black",5,.8620516
